AcademicGroup,AcademicOrganization,Subject,Catalog Number,Section,Class Number,Title,Instructor,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Waitlist Cap,Waitlist Total
Art&Sci,Biology,BIO, 101,1,12859,General Biology I,"McCliment,Elizabeth A",89,88,1,Open,Lecture,Y,,Y,,Y,,,1:00 PM,1:50 PM,LIB-205,15,0
,,BIO, 101,2,12860,General Biology I,"McCliment,Elizabeth A",89,89,0,Closed,Lecture,Y,,Y,,Y,,,2:00 PM,2:50 PM,LIB-205,15,0
,,BIO, 101,3,12861,General Biology I,"McCliment,Elizabeth A",60,60,0,Closed,Lecture,Y,,Y,,Y,,,4:00 PM,4:50 PM,LIB-205,15,0
,,BIO, 103,1,12862,Topics in Biology,"Coursey,Yvonne A",98,91,7,Open,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,DION-116,15,0
,,BIO, 103,3,12863,Topics in Biology,"Connor,Richard C",100,86,14,Open,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,LIB-206,15,0
,,BIO, 103,6101,16296,Topics in Biology,"Coursey,Yvonne A",2,2,0,Closed,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,DION-116,0,0
,,BIO, 103,7101,13964,Topics in Biology,"Ventetuolo,Alan J",25,9,16,Open,Lecture,,,,,,,,,,ONLINE,0,0
,,BIO, 108,1,12864,Cancer Biology,"Ladino,Cynthia A",60,60,0,Closed,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,DION-110,15,0
,,BIO, 108,7101,13965,Cancer Biology,"Ladino,Cynthia A",25,22,3,Open,Lecture,,,,,,,,,,ONLINE,0,0
,,BIO, 112,1,12865,Ocean Environment,"Petitpas,Christian M",110,76,34,Open,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,LARTS-117,15,0
,,BIO, 121,1,12867,Biology of Organisms I,"Winslow,Benjamin B",120,119,1,Open,Lecture,Y,,Y,,Y,,,9:00 AM,9:50 AM,DION-115,15,0
,,BIO, 121,2,12868,Biology of Organisms I,"Winslow,Benjamin B",120,100,20,Open,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,DION-115,15,0
,,BIO, 131,01H,12869,Bio Of Organisms Lab I,"Winslow,Benjamin B",15,14,1,Open,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-331,10,0
,,BIO, 131,2,12870,Bio Of Organisms Lab I,"Coursey,Yvonne A",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,2,12870,Bio Of Organisms Lab I,"Coursey,Yvonne A",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,3,12871,Bio Of Organisms Lab I,"Garlick,Kelsey",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,3,12871,Bio Of Organisms Lab I,"Garlick,Kelsey",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,4,12872,Bio Of Organisms Lab I,"Ladino,Cynthia A",20,20,0,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-331,10,0
,,BIO, 131,4,12872,Bio Of Organisms Lab I,"Ladino,Cynthia A",20,20,0,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-331,10,0
,,BIO, 131,5,12873,Bio Of Organisms Lab I,"Koop,Jennifer A",20,19,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,5,12873,Bio Of Organisms Lab I,"Koop,Jennifer A",20,19,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,6,12874,Bio Of Organisms Lab I,"Wahl,Marian",20,19,1,Open,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,6,12874,Bio Of Organisms Lab I,"Wahl,Marian",20,19,1,Open,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,7,12875,Bio Of Organisms Lab I,"Ladino,Cynthia A",20,20,0,Closed,Laboratory,,Y,,,,,,5:30 PM,8:20 PM,SENG-331,10,0
,,BIO, 131,7,12875,Bio Of Organisms Lab I,"Ladino,Cynthia A",20,20,0,Closed,Laboratory,,Y,,,,,,5:30 PM,8:20 PM,SENG-331,10,0
,,BIO, 131,8,12876,Bio Of Organisms Lab I,"Winslow,Benjamin B",20,20,0,Closed,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-331,10,0
,,BIO, 131,9,12877,Bio Of Organisms Lab I,"Mygas,Stephanie Ann",20,20,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-331,10,0
,,BIO, 131,9,12877,Bio Of Organisms Lab I,"Mygas,Stephanie Ann",20,20,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-331,10,0
,,BIO, 131,10,12878,Bio Of Organisms Lab I,"O'Brien,Orfhlaith Iseult",20,20,0,Closed,Laboratory,Y,,,,,,,5:30 PM,8:20 PM,SENG-331,5,0
,,BIO, 131,10,12878,Bio Of Organisms Lab I,"O'Brien,Orfhlaith Iseult",20,20,0,Closed,Laboratory,Y,,,,,,,5:30 PM,8:20 PM,SENG-331,5,0
,,BIO, 131,11,12879,Bio Of Organisms Lab I,"Coursey,Yvonne A",20,20,0,Closed,Laboratory,,,,Y,,,,5:30 PM,8:20 PM,SENG-331,15,0
