Academic Group,Academic Organization,Subject,Catalog Number,Section,Session,Class Number,Title,CLASS_INSTRUCTOR_NAME,Instructor Emplid,Room Capacity,Room Capacity Request,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Minimum Units,Maximum Units,Waitlist Cap,Waitlist Total
Art&Sci,Biology,BIO, 101,1,1,12859,General Biology I,"McCliment,Elizabeth A",1389560,93,89,89,88,1,Open,Lecture,Y,,Y,,Y,,,1:00 PM,1:50 PM,LIB-205,3,3,15,0
,,BIO, 101,2,1,12860,General Biology I,"McCliment,Elizabeth A",1389560,93,89,89,89,0,Closed,Lecture,Y,,Y,,Y,,,2:00 PM,2:50 PM,LIB-205,3,3,15,0
,,BIO, 101,3,1,12861,General Biology I,"McCliment,Elizabeth A",1389560,93,60,60,60,0,Closed,Lecture,Y,,Y,,Y,,,4:00 PM,4:50 PM,LIB-205,3,3,15,0
,,BIO, 103,1,1,12862,Topics in Biology,"Coursey,Yvonne A",341046,130,98,98,91,7,Open,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,DION-116,3,3,15,0
,,BIO, 103,3,1,12863,Topics in Biology,"Connor,Richard C",296983,150,100,100,86,14,Open,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,LIB-206,3,3,15,0
,,BIO, 103,6101,CE3,16296,Topics in Biology,"Coursey,Yvonne A",341046,130,2,2,2,0,Closed,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,DION-116,3,3,0,0
,,BIO, 103,7101,CE4,13964,Topics in Biology,"Ventetuolo,Alan J",285458,0,25,25,9,16,Open,Lecture,,,,,,,,,,ONLINE,3,3,0,0
,,BIO, 108,1,1,12864,Cancer Biology,"Ladino,Cynthia A",437827,60,60,60,60,0,Closed,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,DION-110,3,3,15,0
,,BIO, 108,7101,CE1,13965,Cancer Biology,"Ladino,Cynthia A",437827,0,25,25,22,3,Open,Lecture,,,,,,,,,,ONLINE,3,3,0,0
,,BIO, 112,1,1,12865,Ocean Environment,"Petitpas,Christian M",288389,114,110,110,76,34,Open,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,LARTS-117,3,3,15,0
,,BIO, 121,1,1,12867,Biology of Organisms I,"Winslow,Benjamin B",1213350,128,120,120,119,1,Open,Lecture,Y,,Y,,Y,,,9:00 AM,9:50 AM,DION-115,3,3,15,0
,,BIO, 121,2,1,12868,Biology of Organisms I,"Winslow,Benjamin B",1213350,128,120,120,100,20,Open,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,DION-115,3,3,15,0
,,BIO, 131,01H,1,12869,Bio Of Organisms Lab I,"Winslow,Benjamin B",1213350,20,15,15,14,1,Open,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-331,1,1,10,0
,,BIO, 131,2,1,12870,Bio Of Organisms Lab I,"Coursey,Yvonne A",341046,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,2,1,12870,Bio Of Organisms Lab I,"Coursey,Yvonne A",1213350,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,3,1,12871,Bio Of Organisms Lab I,"Garlick,Kelsey",1074417,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,3,1,12871,Bio Of Organisms Lab I,"Garlick,Kelsey",1213350,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,4,1,12872,Bio Of Organisms Lab I,"Ladino,Cynthia A",437827,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-331,1,1,10,0
,,BIO, 131,4,1,12872,Bio Of Organisms Lab I,"Ladino,Cynthia A",1213350,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-331,1,1,10,0
,,BIO, 131,5,1,12873,Bio Of Organisms Lab I,"Koop,Jennifer A",1213350,20,20,20,19,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,5,1,12873,Bio Of Organisms Lab I,"Koop,Jennifer A",1586410,20,20,20,19,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,6,1,12874,Bio Of Organisms Lab I,"Wahl,Marian",1213350,20,20,20,19,1,Open,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,6,1,12874,Bio Of Organisms Lab I,"Wahl,Marian",1413829,20,20,20,19,1,Open,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,7,1,12875,Bio Of Organisms Lab I,"Ladino,Cynthia A",437827,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,5:30 PM,8:20 PM,SENG-331,1,1,10,0
,,BIO, 131,7,1,12875,Bio Of Organisms Lab I,"Ladino,Cynthia A",1213350,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,5:30 PM,8:20 PM,SENG-331,1,1,10,0
,,BIO, 131,8,1,12876,Bio Of Organisms Lab I,"Winslow,Benjamin B",1213350,20,20,20,20,0,Closed,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-331,1,1,10,0
,,BIO, 131,9,1,12877,Bio Of Organisms Lab I,"Mygas,Stephanie Ann",1213350,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-331,1,1,10,0
,,BIO, 131,9,1,12877,Bio Of Organisms Lab I,"Mygas,Stephanie Ann",1500778,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-331,1,1,10,0
,,BIO, 131,10,1,12878,Bio Of Organisms Lab I,"O'Brien,Orfhlaith Iseult",1213350,20,20,20,20,0,Closed,Laboratory,Y,,,,,,,5:30 PM,8:20 PM,SENG-331,1,1,5,0
,,BIO, 131,10,1,12878,Bio Of Organisms Lab I,"O'Brien,Orfhlaith Iseult",1373397,20,20,20,20,0,Closed,Laboratory,Y,,,,,,,5:30 PM,8:20 PM,SENG-331,1,1,5,0
,,BIO, 131,11,1,12879,Bio Of Organisms Lab I,"Coursey,Yvonne A",341046,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,5:30 PM,8:20 PM,SENG-331,1,1,15,0
,,BIO, 131,11,1,12879,Bio Of Organisms Lab I,"Coursey,Yvonne A",1213350,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,5:30 PM,8:20 PM,SENG-331,1,1,15,0
,,BIO, 143,1,1,12866,Ecology & Environmental Issues,"Rajaniemi,Tara K",703882,66,60,60,62,-2,Closed,Lecture,Y,,Y,,Y,,,12:00 PM,12:50 PM,SENG-115,3,3,15,0
,,BIO, 221,1,1,12880,Anatomy & Physiology I,"Laxer,Marc",783074,93,85,85,84,1,Open,Lecture,Y,,Y,,Y,,,12:00 PM,12:50 PM,LIB-205,3,3,15,0
,,BIO, 221,2,1,12881,Anatomy & Physiology I,"Laxer,Marc",783074,150,85,85,86,-1,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,LIB-206,3,3,15,0
,,BIO, 223,1,1,12882,Anatomy & Physio Lab I,"Barrett,Diana Theresa",495702,20,20,20,19,1,Open,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,2,1,12883,Anatomy & Physio Lab I,"Draghetti,Mary Christine",495702,20,20,20,19,1,Open,Laboratory,Y,,,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,2,1,12883,Anatomy & Physio Lab I,"Draghetti,Mary Christine",1181461,20,20,20,19,1,Open,Laboratory,Y,,,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,3,1,12884,Anatomy & Physio Lab I,"Laxer,Marc",495702,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-334,1,1,3,0
,,BIO, 223,3,1,12884,Anatomy & Physio Lab I,"Laxer,Marc",783074,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-334,1,1,3,0
,,BIO, 223,4,1,12885,Anatomy & Physio Lab I,"Domenicali-Shah,Joanna",495702,20,20,20,19,1,Open,Laboratory,,Y,,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,4,1,12885,Anatomy & Physio Lab I,"Domenicali-Shah,Joanna",1475348,20,20,20,19,1,Open,Laboratory,,Y,,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,5,1,12886,Anatomy & Physio Lab I,"Moritzen,Laura",495702,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,5,1,12886,Anatomy & Physio Lab I,"Moritzen,Laura",1570938,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,6,1,12887,Anatomy & Physio Lab I,"Lauze,Jessie Frances",495702,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,6,1,12887,Anatomy & Physio Lab I,"Lauze,Jessie Frances",1137173,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,5:00 PM,7:50 PM,SENG-334,1,1,5,0
,,BIO, 223,7,1,12888,Anatomy & Physio Lab I,"Hamlin,Karolyn Andrea Retrum",495702,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,7,1,12888,Anatomy & Physio Lab I,"Hamlin,Karolyn Andrea Retrum",1383949,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,8,1,12889,Anatomy & Physio Lab I,"Laxer,Marc",495702,20,20,20,20,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 223,8,1,12889,Anatomy & Physio Lab I,"Laxer,Marc",783074,20,20,20,20,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-334,1,1,5,0
,,BIO, 234,1,1,12890,Biology Of Cells,"Hable,Whitney E",703883,150,140,140,129,11,Open,Lecture,Y,,Y,,Y,,,10:00 AM,10:50 AM,LIB-206,3,3,15,0
,,BIO, 244,1,1,12891,Biology of Cells Lab,"Hable,Whitney E",703883,20,16,16,17,-1,Closed,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-328,1,1,10,0
,,BIO, 244,2,1,12892,Biology of Cells Lab,"Ladino,Cynthia A",437827,20,16,16,17,-1,Closed,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-328,1,1,10,0
,,BIO, 244,2,1,12892,Biology of Cells Lab,"Ladino,Cynthia A",703883,20,16,16,17,-1,Closed,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-328,1,1,10,0
,,BIO, 244,3,1,12893,Biology of Cells Lab,"Smith,Leah M",703883,20,16,16,17,-1,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-328,1,1,10,0
,,BIO, 244,3,1,12893,Biology of Cells Lab,"Smith,Leah M",1471363,20,16,16,17,-1,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-328,1,1,10,0
,,BIO, 244,04H,1,12894,Biology of Cells Lab,"Hable,Whitney E",703883,20,16,16,11,5,Open,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-328,1,1,10,0
,,BIO, 244,5,1,12895,Biology of Cells Lab,"Daley,Meaghan Christine",703883,20,16,16,17,-1,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-328,1,1,10,0
